NewtonAgentnum,a1,b1,a2,b2,mu,K,lastIterationValue,newtonAgent,innerloop,method,setup,nodes
0,-1,-2,0,0,-1,121,2.04E-09,[],1,gradient,2,8
2,0,-2,0,-1,-2,80,1.93E-09,[0 6],1,gradient,2,8
4,-1,-2,0,-2,-1,77,1.78E-09,[0 2 3 6],1,gradient,2,8
6,-1,-2,0,-1,-1,63,1.78E-09,[0 2 3 4 5 6],1,gradient,2,8
8,0,0,0,-2,-2,22,1.16E-09,[0 1 2 3 4 5 6 7],1,gradient,2,8
0,-1,-2,0,0,-1,121,2.04E-09,[],0,gradient,2,8
2,-1,-2,0,-3,-1,80,1.93E-09,[0 6],0,gradient,2,8
4,-1,-2,0,-3,-1,77,1.78E-09,[0 2 3 6],0,gradient,2,8
6,-1,-2,0,-3,-1,63,1.78E-09,[0 2 3 4 5 6],0,gradient,2,8
8,0,0,0,-3,-1,22,1.16E-09,[0 1 2 3 4 5 6 7],0,gradient,2,8
0,-1,-2,0,0,-1,56,1.72E-09,[],4,before,2,8
2,-1,-2,0,-1,-1,47,1.61E-09,[0 6],4,before,2,8
4,-1,-2,0,-1,-1,44,1.99E-09,[0 2 3 6],4,before,2,8
6,-1,-2,0,-2,-1,46,1.46E-09,[0 2 3 4 5 6],4,before,2,8
8,0,0,0,-2,-2,22,1.16E-09,[0 1 2 3 4 5 6 7],4,before,2,8
60,-1,-2,0,-3,-1,80,1.78E-09,[0 6],-1,gradient,2,8
15,-1,-2,0,-3,-1,80,1.93E-09,[1 5],-1,gradient,2,8
37,-1,-2,0,-3,-1,80,1.93E-09,[3 7],-1,gradient,2,8
47,-1,-2,0,-3,-1,80,1.78E-09,[4 7],-1,gradient,2,8
25,-1,-2,0,-3,-1,80,1.16E-09,[2 5],-1,gradient,2,8
27,-1,-2,0,-3,-1,80,1.78E-09,[2 7],-1,gradient,2,8
12,-1,-2,0,-3,-1,80,1.16E-09,[1 2],-1,gradient,2,8
0,0,-3,0,0,-3,110,1.88E-09,[],1,gradient,2,10
2,0,-1,0,-1,-1,86,1.46E-09,[0 6],1,gradient,2,10
4,0,-3,0,-1,-2,61,1.47E-09,[0 3 6 9],1,gradient,2,10
6,0,-3,0,-2,-2,55,1.70E-09,[0 3 5 6 7 9],1,gradient,2,10
8,0,-2,0,0,-1,50,1.57E-09,[0 2 3 4 5 6 7 9],1,gradient,2,10
10,0,0,0,-2,-3,16,1.88E-09,[0 1 2 3 4 5 6 7 8 9],1,gradient,2,10
0,-1,0,0,0,0,30,5.71E-10,[],5,gradient,2,10
2,0,-1,0,-2,-1,23,1.92E-09,[0 6],5,gradient,2,10
4,0,-3,0,-2,-2,23,9.61E-10,[0 3 6 9],5,gradient,2,10
6,0,-3,0,-2,-2,24,1.28E-09,[0 3 5 6 7 9],5,gradient,2,10
8,0,-4,0,-2,-3,23,1.52E-09,[0 2 3 4 5 6 7 9],5,gradient,2,10
10,0,0,0,-2,-3,16,1.88E-09,[0 1 2 3 4 5 6 7 8 9],5,gradient,2,10
