NewtonAgentnum,a1,b1,a2,b2,mu,K,lastIterationValue,newtonAgent,innerloop,method,setup,nodes
0,3,-7,0,0,-5,279,2.016127903514686e-09,[],1,before,4,8
2,3,-8,0,-3,-5,203,1.915493402782076e-09,[0 6],1,before,4,8
4,3,-8,0,-4,-5,196,1.943076088917195e-09,[0 2 3 6],1,before,4,8
6,3,-6,0,-4,-5,146,1.887490719276741e-09,[0 2 3 4 5 6],1,before,4,8
8,0,0,0,-3,-6,44,1.9688730645839314e-09,[0 1 2 3 4 5 6 7],1,before,4,8
0,3,-6,0,0,-5,93,1.7461722345846198e-09,[],4,before,4,8
2,2,-7,0,-2,-5,104,2.0238548059658967e-09,[0 6],4,before,4,8
4,2,-7,0,-3,-6,89,1.8435671600425252e-09,[0 2 3 6],4,before,4,8
6,2,-7,0,-3,-6,77,1.9617404090066515e-09,[0 2 3 4 5 6],4,before,4,8
8,0,0,0,-3,-6,44,1.9688730645839314e-09,[0 1 2 3 4 5 6 7],4,before,4,8
0,3,-7,0,0,-5,279,2.016127903514686e-09,[],0,before,4,8
2,3,-8,0,-3,-5,203,1.915493402782076e-09,[0 6],0,before,4,8
4,3,-8,0,-4,-5,196,1.943076088917195e-09,[0 2 3 6],0,before,4,8
6,3,-6,0,-4,-5,146,1.887490719276741e-09,[0 2 3 4 5 6],0,before,4,8
8,0,0,0,-4,-5,20,1.9688730645839314e-09,[0 1 2 3 4 5 6 7],0,before,4,8
